"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KAT7",1249.20289523308,-0.380894447981786,0.13912200142997,-2.73784479857069,0.0061843253719461,0.0193210557864198
"BFSP1",106.340436535063,0.926507986010201,0.338481732080995,2.73724664641133,0.00619558220831676,0.0193525715629476
"TNK2",1745.7075367791,0.387152375808701,0.141458574346973,2.73686043844246,0.00620286019045139,0.0193716494098776
"KLHL13",7.14364338405966,4.88888888199313,1.78636061546698,2.73678720839639,0.00620424105823568,0.0193723067338082
"HSP90AB1",46481.5619649766,-0.352169099158566,0.128689601268203,-2.73657774744836,0.00620819230230329,0.0193809881153761
"LYPLA2",2057.67256497582,-0.348819141703497,0.127493928357808,-2.73596669422991,0.00621973207969754,0.0194133519485487
"RIT1",835.642767166803,0.409262695921998,0.149608915107342,2.73555018849217,0.00622760888030448,0.019434272659653
"FAIM2",9.65881299452387,3.22370695822649,1.17873182701848,2.73489430278696,0.00624003095293337,0.0194693670750147
"TMEM183B",2017.2467656807,-0.369682400717533,0.135195452729542,-2.7344292522699,0.00624885223506207,0.0194932156416787
"FGF5",46.7792815703171,-1.29246380856922,0.472707697342358,-2.73417127716698,0.0062537504594833,0.0195048195977704
"ABCC5",1255.87297307785,-0.422400281698693,0.154544026968254,-2.73320354066781,0.00627215588182575,0.0195585388387302
"KANSL2",907.28434621176,-0.437665301916849,0.160134556875886,-2.73310964513466,0.00627394427756665,0.01956043052972
"CRTC3",650.868429797662,0.445267302645508,0.162973625251855,2.73214332661131,0.00629237610012263,0.0196127339410822
"NAGK",348.898221313572,0.533810711809324,0.195384338720096,2.7321059369761,0.00629309025864473,0.0196127339410822
"TCAIM",716.492858772532,0.4255316750975,0.155759849720175,2.73197281495825,0.0062956335402337,0.019614397358039
"TJP3",81.9991420377209,1.0209812641072,0.373718328641871,2.73195394996426,0.00629599402871322,0.019614397358039
"LOC284023",88.9848456416172,-0.934425797698486,0.342076069631333,-2.73163158915369,0.00630215684742142,0.0196299021713435
